LABEL_pred,count
neutral,0.43051394330490894
admiration,0.07951140815856188
gratitude,0.05980640700622263
amusement,0.05104862871629408
love,0.045286932472920025
disapproval,0.038603364830606134
curiosity,0.03595298455865407
approval,0.026503802719520627
anger,0.025120995621110854
surprise,0.023162018898363678
optimism,0.02212491357455635
joy,0.021318276100483983
annoyance,0.019589767227471768
confusion,0.016708919105784745
caring,0.016017515556579858
sadness,0.015210878082507491
disgust,0.01302143351002535
remorse,0.011177690712145655
disappointment,0.010716755012675732
fear,0.010255819313205808
desire,0.008988246139663517
excitement,0.00829684259045863
embarrassment,0.005415994468771606
realization,0.004148421295229315
nervousness,0.0014980410232772528
